map,action_seq,instruct
"1003
2000
0030
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (3, 0), (2, 2)."
"1020
3000
0000
0030
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 1), (2, 3)."
"1203
0000
0003
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (3, 0), (3, 2)."
"1000
3000
0023
0000
",RRDD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (0, 1), (3, 2)."
"1000
0233
0000
0000
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 1), (3, 1)."
"1030
0000
0003
2000
",DDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (2, 0), (3, 2)."
"1000
2330
0000
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (1, 1), (2, 1)."
"1020
0030
0300
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (2, 1), (1, 2)."
"1000
3020
0000
3000
",RRD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (0, 1), (0, 3)."
"1030
0203
0000
0000
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 0), (3, 1)."
"1003
2300
0000
0000
",LD,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (3, 0), (1, 1)."
"1300
0020
0000
0003
",RUDR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 0), (3, 3)."
"1000
0030
0203
0000
",LRDD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (2, 1), (3, 2)."
"1003
0000
0020
3000
",DRDR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (3, 0), (0, 3)."
"1003
0002
3000
0000
",LDRRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (3, 0), (0, 2)."
"1000
0200
3000
0030
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (0, 2), (2, 3)."
"1000
2000
0000
0303
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (1, 3), (3, 3)."
"1033
0200
0000
0000
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 0), (3, 0)."
"1000
0002
0003
0003
",RDRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (3, 2), (3, 3)."
"1000
0000
3023
0000
",RDRD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (0, 2), (3, 2)."
"1200
0003
0000
3000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (3, 1), (0, 3)."
"1002
0030
0000
0030
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (2, 1), (2, 3)."
"1000
2003
0003
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (3, 1), (3, 2)."
"1300
0000
2003
0000
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (1, 0), (3, 2)."
"1000
0020
0030
0003
",RDR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (2, 2), (3, 3)."
"1000
0000
2300
0300
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (1, 2), (1, 3)."
"1020
3300
0000
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 1), (1, 1)."
"1000
3000
2000
0030
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (0, 1), (2, 3)."
"1000
3002
3000
0000
",RRRD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (0, 1), (0, 2)."
"1300
0020
0000
3000
",DRURD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 0), (0, 3)."
"1000
2000
0003
3000
",LD,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (3, 2), (0, 3)."
"1003
0030
0000
2000
",DDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (3, 0), (2, 1)."
"1000
0000
2030
0030
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (2, 2), (2, 3)."
"1300
0200
0000
0300
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (1, 0), (1, 3)."
"1003
0000
0200
0300
",DDR,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 0), (1, 3)."
"1003
0000
0000
0203
",DDRUDD,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (3, 0), (3, 3)."
"1000
0302
0000
0003
",RRRD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 1), (3, 3)."
"1000
0000
0000
3023
",RDRDD,"The agent is at (0, 0). The goal is at (2, 3). Obstacles are located at (0, 3), (3, 3)."
"1000
0000
2300
0300
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (1, 2), (1, 3)."
"1003
0000
0002
0030
",DDRRR,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (3, 0), (2, 3)."
"1030
0000
0020
0300
",DRDR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (2, 0), (1, 3)."
"1200
3000
0300
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 1), (1, 2)."
"1000
0200
0030
3000
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 2), (0, 3)."
"1000
2300
0300
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (1, 1), (1, 2)."
"1330
0000
0000
0200
",DDRD,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (1, 0), (2, 0)."
"1233
0000
0000
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (2, 0), (3, 0)."
"1000
0000
0200
0303
",RDRDL,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (1, 3), (3, 3)."
"1000
2000
0000
0033
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 3), (3, 3)."
"1000
0020
3030
0000
",DRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (0, 2), (2, 2)."
"1000
0200
0000
0033
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 3), (3, 3)."
"1003
0000
0002
0030
",UDDRRR,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (3, 0), (2, 3)."
"1000
0002
3030
0000
",DRRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (0, 2), (2, 2)."
"1000
0000
2030
0030
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (2, 2), (2, 3)."
"1000
2030
0000
0300
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 1), (1, 3)."
"1003
0000
0000
2003
",DDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (3, 0), (3, 3)."
"1000
3030
0002
0000
",RRDRD,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (0, 1), (2, 1)."
"1300
0002
0000
0003
",DRRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 0), (3, 3)."
"1000
0000
0003
0203
",DRDD,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (3, 2), (3, 3)."
"1030
3002
0000
0000
",DDRRUR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (2, 0), (0, 1)."
"1000
0020
0033
0000
",RRD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (2, 2), (3, 2)."
"1003
0200
0000
3000
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (3, 0), (0, 3)."
"1030
0203
0000
0000
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 0), (3, 1)."
"1033
0000
0020
0000
",DDRR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (2, 0), (3, 0)."
"1030
3000
0000
0020
",DDDRR,"The agent is at (0, 0). The goal is at (2, 3). Obstacles are located at (2, 0), (0, 1)."
"1000
0003
0020
0030
",DDRR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (3, 1), (2, 3)."
"1003
0000
3200
0000
",DRD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 0), (0, 2)."
"1000
0002
0000
0330
",DDRURR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 3), (2, 3)."
"1000
2000
3000
3000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (0, 2), (0, 3)."
"1003
0020
0003
0000
",DRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (3, 0), (3, 2)."
"1000
0023
0003
0000
",RRD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (3, 1), (3, 2)."
"1030
2000
0300
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 0), (1, 2)."
"1003
0002
0000
3000
",DRRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (3, 0), (0, 3)."
"1003
0200
0030
0000
",DLR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (3, 0), (2, 2)."
"1020
0000
0000
3300
",RLRR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 3), (1, 3)."
"1300
0000
2030
0000
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (1, 0), (2, 2)."
"1000
0000
0000
2033
",RDDLD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (2, 3), (3, 3)."
"1030
0000
0023
0000
",DRRD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (2, 0), (3, 2)."
"1300
2000
0003
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (1, 0), (3, 2)."
"1000
0000
0233
0000
",DRD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (2, 2), (3, 2)."
"1000
2000
3300
0000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (0, 2), (1, 2)."
"1030
0003
0000
0200
",UDDDLR,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (2, 0), (3, 1)."
"1000
0020
0030
0030
",DRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (2, 2), (2, 3)."
"1020
0300
0000
0003
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 1), (3, 3)."
"1020
0330
0000
0000
",URR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 1), (2, 1)."
"1003
0020
0000
3000
",DDULRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (3, 0), (0, 3)."
"1000
0000
0020
0303
",RDDR,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (1, 3), (3, 3)."
"1200
0030
0000
3000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (2, 1), (0, 3)."
"1020
0000
3000
3000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 2), (0, 3)."
"1032
3000
0000
0000
",DUURRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (2, 0), (0, 1)."
"1000
0230
0300
0000
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 1), (1, 2)."
"1002
3300
0000
0000
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (0, 1), (1, 1)."
"1230
0000
0003
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (2, 0), (3, 2)."
"1033
0000
0000
2000
",DRDLD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (2, 0), (3, 0)."
"1200
0330
0000
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (1, 1), (2, 1)."
"1000
0203
0030
0000
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (3, 1), (2, 2)."
"1000
3000
0002
0003
",RDDRR,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (0, 1), (3, 3)."
"1020
3000
0000
0003
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (0, 1), (3, 3)."
"1000
0302
0000
0003
",RDRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 1), (3, 3)."
"1030
0200
0000
0030
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 0), (2, 3)."
"1000
0000
0302
3000
",DRRDR,"The agent is at (0, 0). The goal is at (3, 2). Obstacles are located at (1, 2), (0, 3)."
"1000
0000
2303
0000
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (1, 2), (3, 2)."
"1000
0000
0023
0003
",RRDD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (3, 2), (3, 3)."
"1300
0200
0000
0030
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (1, 0), (2, 3)."
"1002
0000
3000
0030
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (0, 2), (2, 3)."
"1200
0030
0003
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (2, 1), (3, 2)."
"1000
0000
3020
0300
",DRRRLD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (0, 2), (1, 3)."
"1200
0000
3000
3000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 2), (0, 3)."
"1200
0000
3000
3000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 2), (0, 3)."
"1000
0200
3000
0003
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (0, 2), (3, 3)."
"1003
0000
0203
0000
",DRD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 0), (3, 2)."
"1200
0003
0300
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (3, 1), (1, 2)."
"1030
3000
2000
0000
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (2, 0), (0, 1)."
"1000
0230
0000
3000
",DLR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 1), (0, 3)."
"1000
0030
3020
0000
",RRDD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (2, 1), (0, 2)."
"1320
0000
0300
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 0), (1, 2)."
"1300
0020
3000
0000
",DRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 0), (0, 2)."
"1020
0003
0000
0030
",LRR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (3, 1), (2, 3)."
"1023
0000
0000
3000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (3, 0), (0, 3)."
"1030
3000
0000
0002
",DDRRDR,"The agent is at (0, 0). The goal is at (3, 3). Obstacles are located at (2, 0), (0, 1)."
"1000
3002
3000
0000
",URURRD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (0, 1), (0, 2)."
"1000
2030
0000
0300
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 1), (1, 3)."
"1000
0230
0000
0300
",UDR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (2, 1), (1, 3)."
"1000
0020
0300
0003
",RDR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 2), (3, 3)."
"1002
0030
0000
0030
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (2, 1), (2, 3)."
"1000
0000
3230
0000
",RDD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (0, 2), (2, 2)."
"1000
0320
0003
0000
",RRD,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 1), (3, 2)."
"1000
0020
0300
0003
",DRR,"The agent is at (0, 0). The goal is at (2, 1). Obstacles are located at (1, 2), (3, 3)."
"1020
0303
0000
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 1), (3, 1)."
"1003
0000
0000
3020
",LDRDRD,"The agent is at (0, 0). The goal is at (2, 3). Obstacles are located at (3, 0), (0, 3)."
"1300
0032
0000
0000
",DRURDR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 0), (2, 1)."
"1000
0302
0300
0000
",RRRD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 1), (1, 2)."
"1000
0030
3200
0000
",LLRDD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (2, 1), (0, 2)."
"1000
0000
0300
0203
",DRDD,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (1, 2), (3, 3)."
"1003
0030
0000
2000
",LUDDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (3, 0), (2, 1)."
"1200
3000
3000
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 1), (0, 2)."
"1200
3000
0030
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 1), (2, 2)."
"1000
0000
0030
2030
",DDD,"The agent is at (0, 0). The goal is at (0, 3). Obstacles are located at (2, 2), (2, 3)."
"1200
0000
3030
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 2), (2, 2)."
"1002
0300
0000
0300
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (1, 1), (1, 3)."
"1003
0302
0000
0000
",RDRR,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (3, 0), (1, 1)."
"1000
0030
2003
0000
",RDDL,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (2, 1), (3, 2)."
"1000
0000
0020
3003
",RDRD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (0, 3), (3, 3)."
"1000
0200
3000
0030
",RD,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (0, 2), (2, 3)."
"1002
0300
0000
3000
",LRRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (1, 1), (0, 3)."
"1002
3030
0000
0000
",RRR,"The agent is at (0, 0). The goal is at (3, 0). Obstacles are located at (0, 1), (2, 1)."
"1300
0030
0000
0200
",DDDR,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (1, 0), (2, 1)."
"1003
0000
2000
3000
",DURLDD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (3, 0), (0, 3)."
"1030
0000
2000
0030
",DD,"The agent is at (0, 0). The goal is at (0, 2). Obstacles are located at (2, 0), (2, 3)."
"1000
0330
0020
0000
",RDRD,"The agent is at (0, 0). The goal is at (2, 2). Obstacles are located at (1, 1), (2, 1)."
"1003
0000
0200
0003
",DRD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (3, 0), (3, 3)."
"1200
0000
3003
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (0, 2), (3, 2)."
"1000
2000
0030
3000
",D,"The agent is at (0, 0). The goal is at (0, 1). Obstacles are located at (2, 2), (0, 3)."
"1020
0000
0000
0330
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 3), (2, 3)."
"1000
0000
0000
3230
",RDDD,"The agent is at (0, 0). The goal is at (1, 3). Obstacles are located at (0, 3), (2, 3)."
"1000
0302
0000
0003
",RRURD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (1, 1), (3, 3)."
"1020
0000
0033
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (2, 2), (3, 2)."
"1003
0200
0300
0000
",DR,"The agent is at (0, 0). The goal is at (1, 1). Obstacles are located at (3, 0), (1, 2)."
"1000
3002
3000
0000
",RRRD,"The agent is at (0, 0). The goal is at (3, 1). Obstacles are located at (0, 1), (0, 2)."
"1020
0000
0303
0000
",RR,"The agent is at (0, 0). The goal is at (2, 0). Obstacles are located at (1, 2), (3, 2)."
"1200
0300
0300
0000
",R,"The agent is at (0, 0). The goal is at (1, 0). Obstacles are located at (1, 1), (1, 2)."
"1000
0030
0203
0000
",RDD,"The agent is at (0, 0). The goal is at (1, 2). Obstacles are located at (2, 1), (3, 2)."
